ThingGUID	Title	SubTitle	Description	URL	Weight
B88145D2-4636-82AA-5D36-B87BF8F817FD	HTML	Basic web foundation	"Master HTML 5 - semantic tags, geolocation, audio, video, more."	https://developer.mozilla.org/en-US/docs/Web/HTML	1000
7507CE6B-5607-5F5D-6EA5-BE249F30816C	CSS	Basic web foundation	"Master CSS 3 - flexbox, flexgrid, variables and more."	https://developer.mozilla.org/en-US/docs/Web/CSS	990
1C6D0AAF-28C9-5EA9-30F5-43651D0F50AC	JavaScript	Basic web foundation	Master JavaScript - the language of the web. Lowest barrier to entry of any programming language. Any browser and the ability to edit and save text files. 	https://developer.mozilla.org/en-US/docs/Web/JavaScript	980
AE4E9367-1220-2A8E-4D24-3AF69B4E29DA	Node.js	JavaScript for the backend	"If you know JavaScript for the front-end, why not build a backend as well. Node.js is browserless JavaScript. You'll have to install it. "	https://nodejs.org/	970
C56347EF-4AE5-9DA4-800A-709DF2F91086	Deno.js	JavaScript for the backend	Deno is the updated version of Node.js - by the creator of Node. 	https://deno.land/	960
C39A228A-943B-A3F3-9A34-6E594CA64116	Responsive Design	Auto adjust to any screen size	"Design for mobile first, and then automatically flow for larger screens. "	https://developer.mozilla.org/en-US/docs/Learn/CSS/CSS_layout/Responsive_Design	950
55EDAA50-2F8F-82E9-8197-3F381A277001	CSS:Bootstrap	Auto adjust to any screen size	Widely used set of classes and behaviors for responsive design. 	https://getbootstrap.com/	940
534A1F70-582E-A087-9A06-8F2A01908C44	CSS:Pure	Yahoo's simple CSS solution	"Very small CSS library. No build tools required, easy to get started with a nice layout. "	https://purecss.io/	930
AB3AABD6-95F6-0DE2-7D23-15E577E51EB4	CSS:Flexbox	Flexible 1D CSS layout model	Important built-in CSS layout mode for arranging things in a container in one dimension. 	https://developer.mozilla.org/en-US/docs/Learn/CSS/CSS_layout/Flexbox	920
84E0D781-4055-2743-1C77-DFD4AC353A11	CSS:Grid	Flexible 2D CSS layout model	Important built-in CSS layout mode for arranging things in a container in two dimensions: rows and columns.	https://developer.mozilla.org/en-US/docs/Learn/CSS/CSS_layout/Grids	910
38CAB0C2-3E75-3ACC-4871-4897C5FD636A	Web Components	Reuse custom elements	Reuse parts of a web page with no build tool and no framework. It's really easy. 	https://developer.mozilla.org/en-US/docs/Web/Web_Components	900
E869B8AA-8230-7E8F-805F-484084E9A6F5	Git	Distributed version control	Master this widely-used system for managing evolving project files.	https://git-scm.com/	890
9B694C42-6474-1978-9530-4C97CD070A16	GitHub	Free hosting for code projects	Master this popular place to store and share code for free. 	https://github.com/	880
E0A8B84D-6C2F-311C-38B0-3E089C462E8B	Bitbucket	Free hosting for code projects	Another popular place to store and share code for free. 	https://bitbucket.org/	870
67211A84-2750-80F4-8905-D4E66BA05F62	PowerShell	Cross-platform shell	"Master this popular, multiplatform shell for running commands without a GUI. "	https://docs.microsoft.com/en-us/powershell/?view=powershell-7.2	860
ACC2675D-0ECE-5979-7B64-50A6E91165BA	Bash	Linux shell	"Know this poplar Linux-based shell. On Windows, Git Bash is a great place to start, then add Windows Subsystem for Linux. "	https://developer.ibm.com/tutorials/l-lpic1-103-1/	850
A124D52A-4B16-50DA-77E9-90028E563107	Win: Chocolatey	Windows package manager	Established Windows Package Manager - lots of packages ready to go. 	https://chocolatey.org/	840
3379C745-8771-78E6-1AE3-19FD9B435194	Win: TortoiseGit	Super easy Git integration on Windows	Integrates Git into the Windows File Explorer. Makes 90% of daily activities super easy - do the rest in Git Bash. 	https://tortoisegit.org/	830
BA46C400-4D9A-2D2F-7E65-B29F7D45201F	Win: Scoop	Windows package manager	Newer Windows Package Manager - lots of packages getting added. 	https://scoop.sh/	820
810A1AE0-4123-8B1C-2567-673AD4618482	Win: WinGet	Built-in Windows package manager	Built-in Windows Package Manager - a bit more complicated syntax than choco or scoop. 	https://docs.microsoft.com/en-us/windows/package-manager/winget/	810
D28B57B9-7839-5159-367D-B001A9C90E26	HTTP	Calling functions on the web	Understand HTTP - this is a key protocol for communicating on the web.	https://developer.mozilla.org/en-US/docs/Web/HTTP	800
